stop_id,stop_name
401294,W 14 ST/7 AV
401301,HUDSON ST/CHARLTON ST
401302,HUDSON ST/W HOUSTON ST
401305,FRED DOUGLASS BL/W 155 ST
401306,FRED DOUGLASS BL/W 154 ST
401307,FRED DOUGLASS BL/W 152 ST
401308,FRED DOUGLASS BL/W 150 ST
401310,FRED DOUGLASS BL/W 145 ST
401311,FRED DOUGLASS BL/W 142 ST
401312,FRED DOUGLASS BL/W 140 ST
401313,FRED DOUGLASS BL/W 138 ST
401314,FRED DOUGLASS BL/W 135 ST
401315,FRED DOUGLASS BL/W 133 ST
401317,FRED DOUGLASS BL/W 129 ST
401324,FRED DOUGLASS BL/W 112 ST
401325,FRED DOUGLASS BL/CATHEDRAL PKY
401326,CENTRAL PK W/W 108 ST
401327,CENTRAL PK W/W 106 ST
401328,CENTRAL PK W/W 104 ST
401329,CENTRAL PK W/W 102 ST
401330,CENTRAL PK W/W 100 ST
401331,CENTRAL PK W/W 97 ST
401333,CENTRAL PK W/W 94 ST
401334,CENTRAL PK W/W 92 ST
401335,CENTRAL PK W/W 90 ST
401336,CENTRAL PK W/W 88 ST
401337,CENTRAL PK W/W 86 ST
401338,CENTRAL PK W/W 84 ST
401339,CENTRAL PK W/W 81 ST
401341,CENTRAL PK W/W 77 ST
401342,CENTRAL PK W/W 74 ST
401343,CENTRAL PK W/W 72 ST
401344,CENTRAL PK W/W 70 ST
401345,CENTRAL PK W/W 68 ST
401348,BROADWAY/W 63 ST
401359,7 AV/W 37 ST
401360,7 AV/W 34 ST
401361,7 AV/W 31 ST
401363,7 AV/W 28 ST
401364,7 AV/W 25 ST
401366,7 AV/W 20 ST
401371,7 AV S/WAVERLY PL
401372,7 AV S/W 10 ST
401373,7 AV S/BARROW ST
401374,7 AV S/BEDFORD ST
401375,7 AV S/CLARKSON ST
401377,VARICK ST/CHARLTON ST
401379,VARICK ST/WATTS ST
401380,VARICK ST/NORTH MOORE ST
401381,W BROADWAY/DUANE ST
401386,HUDSON ST/W 13 ST
401387,HUDSON ST/HORATIO ST
401388,HUDSON ST/W 12 ST
401393,BETHUNE ST/GREENWICH ST
401398,10 AV/W 21 ST
401400,10 AV/W 25 ST
401401,10 AV/W 27 ST
401402,10 AV/W 30 ST
401407,10 AV/W 42 ST
401408,10 AV/W 45 ST
401409,10 AV/W 47 ST
401410,10 AV/W 49 ST
401411,10 AV/W 53 ST
401412,10 AV/W 55 ST
401413,10 AV/W 57 ST
401414,AMSTERDAM AV/W 59 ST
401416,AMSTERDAM AV/W 62 ST
401417,AMSTERDAM AV/W 65 ST
401435,AMSTERDAM AV/W 106 ST
401436,AMSTERDAM AV/W 109 ST
401438,AMSTERDAM AV/W 112 ST
401440,AMSTERDAM AV/W 116 ST
401441,AMSTERDAM AV/W 118 ST
401442,AMSTERDAM AV/W 120 ST
401443,AMSTERDAM AV/W 123 ST
401444,AMSTERDAM AV/W 125 ST
401445,AMSTERDAM AV/W 126 ST
401446,AMSTERDAM AV/W 129 ST
401447,AMSTERDAM AV/W 131 ST
401448,AMSTERDAM AV/W 133 ST
401453,HUDSON ST/CHRISTOPHER ST
401458,AMSTERDAM AV/W 131 ST
401459,AMSTERDAM AV/W 129 ST
401462,AMSTERDAM AV/W 123 ST
401463,AMSTERDAM AV/W 120 ST
401464,AMSTERDAM AV/W 118 ST
401465,AMSTERDAM AV/W 116 ST
401466,AMSTERDAM AV/W 114 ST
401467,AMSTERDAM AV/W 112 ST
401469,COLUMBUS AV/CATHEDRAL PY
401470,COLUMBUS AV/W 108 ST
401489,9 AV/W 59 ST
401490,9 AV/W 57 ST
401491,9 AV/W 55 ST
401492,9 AV/W 52 ST
401493,9 AV/W 50 ST
401495,9 AV/W 46 ST
401496,9 AV/W 44 ST
401497,9 AV/W 42 ST
401500,9 AV/W 35 ST
401501,9 AV/W 34 ST
401502,9 AV/W 30 ST
401503,9 AV/W 28 ST
401506,9 AV/W 20 ST
401507,9 AV/W 18 ST
401528,WEST ST/CHRISTOPHER ST
401529,W 10 ST/WASHINGTON ST
401531,W 10 ST/BLEECKER ST
401532,W 10 ST/7 AV S
401533,W 10 ST/WAVERLY PL
401535,GREENWICH AV/CHRISTOPHER ST
401536,W 8 ST/AV OF THE AMERICAS
401538,W 8 ST/5 AV
401542,ST MARKS PL/3 AV
401543,ST MARKS PL/2 AV
401544,ST MARKS PL/1 AV
401545,ST MARKS PL/AV A
401547,E 10 ST/AV A
401548,E 10 ST/AV B
401549,E 10 ST/AV C
401552,E 10 ST/AV C
401553,E 10 ST/AV B
401554,E 10 ST/AV A
401555,E 9 ST/AV A
401556,E 9 ST/1 AV
401557,E 9 ST/2 AV
401558,E 9 ST/3 AV
401559,E 9 ST/4 AV
401561,E 9 ST/UNIVERSITY PL
401562,W 9 ST/5 AV
401563,W 9 ST/AV OF THE AMERICAS
401564,CHRISTOPHER ST/GREENWICH AV
401565,CHRISTOPHER ST/WAVERLY PL
401566,CHRISTOPHER ST/7 AV S
401567,CHRISTOPHER ST/BLEECKER ST
401568,CHRISTOPHER ST/HUDSON ST
401569,CHRISTOPHER ST/GREENWICH ST
401570,CHRISTOPHER ST/WASHINGTON ST
401575,W 14 ST/8 AV
401577,W 14 ST/6 AV
401579,E 14 ST/UNIVERSITY PL
401587,E 14 ST/AV C
401589,AV C/E 12 ST
401591,E 10 ST/AV D
401595,AV D/E 6 ST
401596,AV D/E 4 ST
401598,E HOUSTON ST/BARUCH DR
401599,E HOUSTON ST/MANGIN ST
401600,F. D. R. DRIVE/555 FDR DR
401608,8 AV/BLEECKER ST
401609,8 AV/W 4 ST
401610,AV A/E 11 ST
401612,AV A/E 5 ST
401624,COLUMBIA ST/RIVINGTON ST
401625,AV D/E HOUSTON ST
401626,AV D/E 5 ST
401630,AV C/E 12 ST
401633,E 14 ST/AV C
401657,AV A/E 5 ST
401659,AV A/E 11 ST
401660,AV A/E 14 ST
401664,WATER ST/BROAD ST
401665,WATER ST/OLD SLIP
401666,WATER ST/WALL ST
401669,PEARL ST/PECK SLIP
401670,ST JAMES PL/R F WAGNER SR PL
401675,PIKE ST/DIVISION ST
401679,ALLEN ST/DELANCEY ST
401681,ALLEN ST/STANTON ST
401682,1 AV/E 2 ST
401685,1 AV/ST MARKS PL
401686,1 AV/E 11 ST
401687,1 AV/E 14 ST
401688,1 AV/E 17 ST
401689,1 AV/E 20 ST
401690,1 AV/E 23 ST
401691,1 AV/E 25 ST
401694,1 AV/E 31 ST
401696,1 AV/E 36 ST
401697,1 AV/E 39 ST
401698,1 AV/E 42 ST
401699,1 AV/E 45 ST
401701,1 AV/MITCHELL PL
401702,1 AV/E 52 ST
401703,1 AV/E 55 ST
401704,1 AV/E 57 ST
401706,1 AV/E 64 ST
401707,1 AV/E 67 ST
